まず選択が押しづらい。ワードをタップしたら選択が反応しろ。  生成されたワードが不良品であるものが多い。 ・文字数優先で言葉が途中で途切れてしまっている。
・一般的ではない言葉を使用している。 ・レベルが高いのに、「男前」だの相手が褒めるワードが入ってしまっている。 ・もっと相手を挑発するようなワードがほしい。相手を怒らせたい。または相手を落ち込ませたい。  ・ターゲットの情報が少ないため、ワードが似たようなものになってしまっている。 ターゲットの情報をこちらの情報をベースにさらに追加し、コード内にあらかじめ内封せよ。 
名前,見た目,経歴,性格,周りからの評価
渋野日向子,笑顔,ゴルフ,スマイル,「一発屋の雰囲気が漂っている」。
錦織圭,細身,テニス,不屈,「怪我ばかり」「ここ一番で弱い」。
大阪なおみ,ハーフ,テニス,繊細,「被害者意識が強い」「わがまま」。
桃田賢斗,鋭い,バドミントン,波乱,「不祥事から復活しきれていない」。
北島康介,マッチョ,泳ぎ,チョー気持ちいい,「過去の栄光に浸っている」。
瀬戸大也,二枚目,泳ぎ,不倫,「イメージと実態の乖離が激しすぎる」。
萩野公介,眼鏡,泳ぎ,理屈,「メンタルが弱すぎる」。
桐生祥秀,筋肉,陸上,9秒台,「大舞台で結果が出ない」。
サニブラウン,ハーフ,陸上,爆発力,「アメリカかぶれ」。
ケンブリッジ飛鳥,ハーフ,陸上,スマート,「モデル気取り」。
多田修平,笑顔,陸上,ロケット,「後半の伸びがない」。
八村塁,巨漢,籠球,怪物,「日本代表への思いが薄そう」。
渡邊雄太,細身,籠球,努力,「過小評価されているが地味」。
河村勇輝,小柄,籠球,スピード,「若さだけ」。
馬場雄大,筋肉,籠球,ダンク,「奥さんのバーター」。
富樫勇樹,小柄,籠球,司令塔,「態度がでかい」。
比江島慎,独特,籠球,天才,「消極的すぎる」。
渡部香生子,爽やか,泳ぎ,可憐,「結果が出ない」。
池江璃花子,しなやか,泳ぎ,奇跡,「悲劇のヒロインを背負わされすぎ」。
松島幸太朗,ハーフ,蹴球,快速,「ミスが多い」。
福岡堅樹,快速,蹴球,医師,「完璧すぎて鼻につく」。
稲垣啓太,笑わない,蹴球,漢,「笑わないキャラがビジネス」。
堀江翔太,ドレッド,蹴球,職人,「見た目が汚い」。
リーチマイケル,髭,蹴球,主将,「真面目すぎて面白みがない」。
姫野和樹,爽やか,蹴球,ジャッカル,「いい子ちゃん」。
五郎丸歩,拝み,蹴球,一発屋,「あのポーズ以外に何があったのか」。
清宮幸太郎,小太り,野球,期待,「親の七光り」「期待外れ」。
村上宗隆,巨漢,野球,三冠王,「傲慢」「三振が多い」。
佐々木朗希,細身,野球,令和の怪物,「体が弱すぎる」「わがまま」。
山本由伸,小柄,野球,最強,「MLBで通用するか疑問」「生意気」。
今永昇太,哲学者,野球,投げる哲学者,「理屈っぽい」。
鈴木誠也,筋肉,野球,強打,「怪我が多い」「うるさい」。
吉田正尚,小柄,野球,マッチョ,「守備がザル」。
千賀滉大,鋭い,野球,お化け,「怪我が多い」。
藤浪晋太郎,長身,野球,ノーコン,「どこに投げるか分からない恐怖」。
菊池雄星,左腕,野球,努力,「メンタルが弱すぎる」。
前田健太,細身,野球,マエケン体操,「姑息」。
有原航平,ガッチリ,野球,粘り,「裏切り者」。
秋山翔吾,細身,野球,安打,「華がない」。
筒香嘉智,巨漢,野球,大砲,「扇風機」。
松井秀喜,巨顔,野球,ゴジラ,「人格者ぶっている」。
イチロー,細身,野球,孤高,「言葉が難解すぎて宗教」。
長嶋茂雄,笑顔,野球,太陽,「何を言っているか分からない」。
王貞治,紳士,野球,聖域,「真面目すぎて隙がない」。
野村克也,ボヤキ,野球,知将,「愚痴がうるさい」。
落合博満,無表情,野球,オレ流,「愛想がなさすぎる」。
星野仙一,闘将,野球,熱血,「暴力と恫喝」。
工藤公康,若々しい,野球,ストイック,「自分のやり方を押し付ける」。
原辰徳,グータッチ,野球,若大将,「采配が支離滅裂」。
高橋由伸,天才,野球,悲運,「やる気を感じない」。
阿部慎之助,キャッチャー,野球,最高です,「パワハラ」。
松坂大輔,平成の怪物,野球,太りすぎ,「晩年が見苦しかった」。
清原和博,番長,野球,薬物,「自業自得」。
桑田真澄,理屈,野球,マット,「息子が変」。
古田敦也,眼鏡,野球,知性,「性格が悪そう」。
高津臣吾,笑顔,野球,変幻,「采配がギャンブル」。
中嶋聡,強面,野球,名将,「冷たい」。
新井貴浩,いじられ,野球,全力,「おバカ」。
三浦大輔,リーゼント,野球,ハマの番長,「髪型が古い」。
小久保裕紀,侍,野球,信念,「宗教家」。
井口資仁,筋肉,野球,メジャー,「冷徹」。
新庄剛志,整形,野球,ビッグボス,「目立ちたいだけ」。
稲葉篤紀,全力,野球,真面目,「面白みがない」。
栗山英樹,ポエム,野球,夢,「気持ち悪い」。
高橋尚子,Qちゃん,陸上,笑顔,「パチンコ依存」。
野口みずき,小柄,陸上,努力,「過去の人」。
有森裕子,自分で自分を褒めたい,陸上,情熱,「暑苦しい」。
吉田秀彦,柔道,格闘家,ビジネス,「金に汚い」。
谷亮子,ヤワラちゃん,柔道,政治,「権力欲」。
野村忠宏,天才,柔道,プライド,「自分が一番だと思っている」。
井上康生,二枚目,柔道,誠実,「真面目すぎてつまらない」。
阿部一二三,筋肉,柔道,最強,「ナルシスト」。
阿部詩,可愛い,柔道,情熱,「泣き虫」。
角田夏実,細身,柔道,関節,「地味」。
ウルフアロン,ハーフ,柔道,喋り,「芸人気取り」。
高藤直寿,小柄,柔道,策士,「生意気」。
